Part Name,Part Density(g/cm(Cube)),Tensile Strength(Mpa),Stiffness(Gpa),Thermal Conductivity(Watt Per Meter Kelvin),Cost(RS),Stress Requirement(Mpa),Operating Temperature(Degree centigrade),Suggested Material
Double Wishbone Linkages,2.55702338,1146.032612,21.63873921,2.924701327,2924.381061,295.7962809,109.6635681,Stainless Steel
Gaskets,3.384549627,1455.894863,195.2894958,149.3913906,468.120458,215.8065537,708.4029073,Medium Carbon Steel
Bevel Gears,7.880470155,1378.912081,52.78883892,74.90982196,5580.13074,425.8686537,640.3230908,Carbon Fiber
Exhaust Manifolds,5.301409162,497.4290073,87.1488472,154.2472589,3547.226208,258.6452574,474.3745307,Stainless Steel
Timing Belts,6.265533042,367.1115808,52.77980171,11.77338242,442.9813985,383.4485062,220.4031134,Letnol
Timing Gears,4.755649742,923.044962,1.842652386,68.17911215,4004.353405,752.2321415,327.512431,Titanium
Gear Wheels,2.72626552,381.0193343,71.82723083,26.72987535,4068.259657,319.8761332,735.9660384,Titanium
Timing Belts,6.630193476,67.31053767,147.9935146,43.81612961,2791.69687,37.26442747,170.3386206,Stainless Steel
Regenerative Brakes,3.363815915,505.7186477,64.15114499,29.06494629,5616.198783,131.9992612,507.8731923,Titanium
Cam,6.786517639,87.01826753,207.9665387,67.93979103,5847.263343,175.9418488,102.0626602,Carbon Fiber
Gear,1.273234762,717.0757986,135.0874812,94.8341327,2952.833785,824.2436065,159.6810485,Stainless Steel
Disc Clutches,6.083188272,601.7623768,59.90900379,22.59299607,420.7511515,621.31552,258.1841934,Letnol
Four Bar Linkages,4.144745684,1431.908324,91.38313991,138.5087855,2876.188814,927.9387709,340.8646989,High-speed Steel
Shaft,5.885977178,485.3364152,156.3386952,93.4396245,4007.254962,550.0129745,691.6440562,Titanium
Gaskets,1.242574811,1277.59595,102.3954977,153.2480309,3294.756148,488.388455,529.1845671,High-speed Steel
Gear,2.311478623,513.7731399,101.9034853,162.6287876,2960.656786,402.13481,718.4140555,Stainless Steel
Disc Clutches,1.717318841,107.995163,135.0375872,94.05000433,517.923106,28.31836915,180.6938308,Plastic
Turbine Blade,3.516621824,967.7828109,209.4388173,49.87457783,792.9811767,164.1395184,426.5251997,Letnol
Timing Gears,1.689526005,1187.176563,32.36762835,113.528443,3378.947969,472.2584226,548.1256938,High-speed Steel
Timing Chains,6.33469571,1277.67471,11.38058119,117.5427003,4194.773721,701.9996248,599.2104391,Titanium
Intake Manifolds,6.071180269,893.2616325,80.96576688,18.83952592,2877.584147,974.0179524,250.8615019,High-speed Steel
Bevel Gears,6.100589445,243.9526813,84.83748986,23.21689899,3100.572215,934.9012934,520.6562119,Stainless Steel
Spark Plugs,5.398802766,431.8731877,72.88503433,153.6557513,5357.267575,877.2809582,73.98279709,Titanium
Lip Seals,1.410979902,154.2713841,127.4281725,155.0288269,4132.257682,987.8471637,724.286921,Titanium
Centrifugal Pumps,6.880128336,541.5391351,206.9674387,110.845581,5167.810104,775.0635272,442.578326,Titanium
Hydraulic Brakes,7.791823482,933.700761,195.4226747,126.9426239,2526.265173,599.2317074,392.2042261,Stainless Steel
Cone Clutches,3.418029132,273.7217756,202.7495088,23.80758497,3946.852693,801.2806994,394.092008,Titanium
Gaskets,2.922693568,1126.557079,97.28123841,108.2826329,2483.865099,981.1851231,102.2820172,High-speed Steel
Crankshaft,4.176814924,865.6652738,83.05398347,124.1018591,2466.906095,262.1231047,190.6420253,Stainless Steel
Electromagnetic Clutches,6.746418614,519.0552277,32.33769721,141.1355363,3285.405476,406.0680723,477.8938741,Stainless Steel
Cone Clutches,7.490768335,478.1388133,121.5607788,162.4821012,4456.004254,870.0585619,494.9608552,Titanium
Valve,6.131393375,380.8995364,132.2910828,110.5872637,2456.84508,832.635488,234.8487061,Stainless Steel
Helical Gears,3.778845608,1051.684732,50.75801262,194.9253476,576.0691226,71.80575441,756.9192497,Letnol
Timing Gears,1.246837563,1227.52398,106.1201764,169.1326262,2962.340849,309.9166859,690.5956972,High-speed Steel
Crankshafts,3.834258682,288.1120245,103.4907345,187.7569946,4808.268457,797.6027641,550.9206255,Titanium
Peristaltic Pumps,1.897720365,895.730263,193.0759253,39.77870923,2295.883326,887.7731246,535.6838153,High-strength Steel
Multi-plate Clutches,1.238910903,55.49388502,42.5738517,194.1117683,737.2645513,528.5605743,153.7129793,Letnol
Shaft,6.281967542,847.7664613,110.8781597,59.29419126,5158.328658,807.9805688,594.067884,Titanium
Bell Crank Linkages,1.968979881,351.1250951,190.0484869,172.4738988,2388.504541,95.8820974,649.2281932,Stainless Steel
Gear,2.958452551,1238.544409,92.76936923,155.7253941,4914.228773,76.95527781,551.5916697,Titanium
Worm Gears,6.862081852,1285.866074,3.656425633,111.8334436,5502.333557,769.0030254,180.4630453,Carbon Fiber
Gear,1.884796417,819.4118102,86.38601031,56.6010312,3094.080214,862.520725,140.9705412,High-speed Steel
Disc,1.262837355,803.3236093,18.23688936,124.5407447,1240.319751,81.76908387,580.6817012,Medium Carbon Steel
Pneumatic Brakes,4.386918361,1106.937916,126.8364991,98.58005003,4540.603718,864.1862595,69.1814709,Titanium
Coupling,2.847655505,1016.743248,43.91027824,67.45106359,5799.096784,115.6269563,77.32948074,Carbon Fiber
Oil Pumps,2.113915576,1156.265241,72.26169049,194.3275309,5949.997534,269.276148,455.6960932,Carbon Fiber
Centrifugal Pumps,7.263711669,821.9900019,46.88836979,38.83706197,4880.642074,278.677596,570.4049982,Titanium
Timing Belts,4.66083344,1051.200448,29.90696155,59.03570859,4419.359334,401.5805997,283.2257617,Titanium
Fuel Pumps,1.515899608,552.7387985,71.42087141,30.17416506,847.9098614,348.2213798,95.81598562,Letnol
Cone Clutches,5.468880433,229.7443879,188.297816,179.7000735,1210.001021,933.9086145,266.6498472,Medium Carbon Steel
Pneumatic Brakes,6.929512434,1052.762026,204.6076387,50.95896749,606.0265446,497.5751835,616.5710213,Medium Carbon Steel
Crank Linkage Systems,5.830102812,970.3083599,166.7686905,193.202868,5680.204403,674.1542869,221.8572221,Carbon Fiber
Cylinder Heads,1.796040248,732.3579774,131.7149284,97.98823766,1798.597295,246.5688673,493.0580404,Brass
Pneumatic Brakes,5.567152472,511.7695378,92.69709106,85.31497731,5768.511262,776.9797891,64.18902438,Carbon Fiber
Turbine,4.553673524,908.3671967,79.79776224,44.02278546,3487.991554,493.0843015,357.0468924,High-speed Steel
Casing,4.005341566,1312.971086,90.56537345,143.3196802,884.2084142,742.0014488,67.49708528,High Carbon Steel
Rack and Pinion Gears,7.244012746,359.5750276,77.44404724,140.9067274,1255.905135,255.2604581,795.2779751,Low Carbon Steel
O-rings,1.416053405,242.2330023,208.2613792,134.9114492,404.8375632,694.0581116,651.7351156,Letnol
Gear Wheels,7.854579091,573.1878303,202.5127397,28.56455218,5938.344382,727.8012083,215.8723099,Carbon Fiber
Positive Displacement Pumps,1.768858663,485.1114161,144.8269965,179.9471783,921.5280737,937.8070674,353.3752148,Medium Carbon Steel
Timing Chains,6.720495304,1173.437855,175.8580612,48.78330469,1995.750528,37.82576843,432.1044445,High-strength Steel
Double Wishbone Linkages,7.559224868,1288.725454,167.9358094,30.08653362,2121.747811,132.1454937,367.153154,High-strength Steel
Bevel Gears,6.545707114,500.1140285,100.8343355,25.11170172,5081.168024,563.4208274,261.0372319,Titanium
Crank Linkage Systems,3.455784701,1318.341049,201.7387251,192.7932984,1396.492812,876.7196799,761.3865421,High Carbon Steel
Parking Brakes,6.470427931,881.7128395,163.8161475,162.929913,513.5749843,596.1076851,391.0351057,Letnol
Flywheel,3.080656989,901.7945555,133.7260758,156.2765645,1671.845036,780.6299257,517.5322799,High Carbon Steel
Double Wishbone Linkages,3.356862274,485.9066055,187.4295235,143.1142052,1851.692097,780.5704432,386.3046155,High-strength Steel
Coupling,5.515862032,1160.805892,59.11981905,60.37421383,2431.893985,19.57974998,712.425161,Stainless Steel
Engine Blocks,1.47739129,44.18042267,6.086284861,69.0752894,4651.18171,743.2378521,511.1802058,Titanium
Gear,5.08516317,208.0767641,43.44515666,83.94817838,5723.665304,64.49906977,316.8891079,Carbon Fiber
Bevel Gears,3.856146261,76.70500208,8.178963354,48.71575134,2552.833932,852.6788755,785.4779045,Stainless Steel
Gear Wheels,1.451795794,1360.014064,198.1546987,197.5388593,3944.930378,841.8305714,616.4958072,High-speed Steel
Electromagnetic Clutches,2.455172875,184.6069858,171.3932523,108.1430334,5656.146251,270.8045462,429.088411,Titanium
Disc Brakes,3.278211571,881.7429029,63.27845817,143.4932252,4316.959075,820.9744995,542.7303008,Titanium
Disc,2.746613547,1493.919926,20.51257368,17.9368298,3561.719473,242.5697635,126.6217955,High-speed Steel
Turbine,4.888232308,108.7717793,99.04280987,34.9079378,2205.270918,758.3908808,161.1151664,High-strength Steel
Engine Blocks,5.347283296,1097.646252,11.33162431,140.6052673,4545.798809,717.1949008,603.9435021,Titanium
Rack and Pinion Gears,6.872856796,961.9480135,99.26077891,19.94399283,5551.732939,911.266367,249.6587543,Carbon Fiber
Timing Belts,7.841087555,43.53152158,180.9805833,170.6847511,3652.360194,770.3197524,526.6532948,Stainless Steel
Casing,1.826743463,171.5529414,189.5862223,58.58170607,2249.15007,462.9796959,566.8988726,Stainless Steel
Pistons,5.26096348,1350.014696,33.86551236,47.1631025,1219.337239,771.5631653,684.7437105,High Carbon Steel
Timing Chains,2.77855392,1366.659335,163.4960066,125.411188,1331.372136,86.71452712,681.4373904,High Carbon Steel
Double Wishbone Linkages,4.729416342,1144.457049,205.0975007,135.8970706,3001.325228,703.9005651,134.8810404,High-speed Steel
Wheel,7.567960684,1195.13209,117.0608754,98.18078258,444.0421235,311.7196138,340.1516195,Letnol
Disc Clutches,2.697610426,1206.978581,81.35513302,78.91764819,2937.979074,837.7014404,742.3854669,High-speed Steel
Engine Blocks,2.048713308,118.2657189,58.69390451,196.776952,3073.592936,889.3895719,160.0691266,Stainless Steel
Shaft Seals,3.288470674,1396.316743,194.3045881,84.49068421,993.9980178,732.6605465,611.5592843,High Carbon Steel
Parking Brakes,3.760118587,1117.404226,42.55395411,110.8535691,4264.252303,820.8470058,283.339104,Titanium
Gear Wheels,6.709895705,555.3258996,23.60477444,178.2920987,3445.862569,722.8068733,322.0988392,High-speed Steel
Flywheel,3.865442126,804.0794706,134.3095825,29.32026158,4049.237776,649.0945101,550.1924587,Titanium
Timing Belts,3.196474253,719.5856467,205.3395225,127.4888014,4702.963372,125.3415653,460.4213885,Titanium
Vane Pumps,2.328654978,1478.895318,144.2880781,156.2343101,3807.894686,889.5400969,146.786668,High-speed Steel
Diaphragm Pumps,5.892319264,649.0593765,189.7770503,22.23351041,2026.022037,981.3967772,104.2377746,High-strength Steel
Multi-plate Clutches,5.552735189,432.0235014,175.28501,143.0773856,1825.026531,957.878169,526.6928065,High-strength Steel
Crankshaft,3.468631165,1336.940652,164.4467962,109.5396532,3605.369301,564.2509293,52.74852926,High-speed Steel
Four Bar Linkages,7.387988142,61.30959832,116.4986266,176.3746114,3486.225995,345.5317574,691.1666903,Stainless Steel
Lip Seals,6.389734953,951.6891906,20.99138689,133.5813705,4559.64086,511.1800664,439.6740183,Titanium
Spur Gears,4.106885807,1325.809989,108.2030043,175.3607607,4587.880126,409.4674517,707.5286551,Titanium
Bevel Gears,4.548836188,1051.737222,145.3468129,56.44424993,2641.102285,298.3456246,431.9425549,Stainless Steel
Spring,2.853995448,713.295071,6.208682851,178.3476374,4402.847579,63.10112333,460.5480481,Titanium
Flywheel,1.46392547,1499.440142,38.54327626,160.6454964,4387.49063,55.83694893,241.7075827,Titanium
O-rings,6.943952665,132.544346,31.91076837,106.0645376,1399.509437,467.7872963,631.5115489,Mild Steel
Crank Linkage Systems,1.46266736,109.208404,89.93251573,132.7913547,731.8547636,757.186489,570.1233536,Letnol
Worm Gears,1.849557668,1076.915818,200.5861123,110.3500416,4474.445089,581.6564348,762.6603483,Titanium
Four Bar Linkages,4.659742637,68.84720382,112.0734637,118.7455999,1003.563483,502.3342476,410.5496503,Grey Cast Iron
Flywheel,3.135515564,1289.613962,6.18016964,74.39086195,1807.352717,20.85092047,236.5069143,High-strength Steel
Spur Gears,1.210113141,621.2499221,72.71844117,45.4102638,3878.167319,169.6870759,185.2710584,High-speed Steel
Flywheel,1.065495707,726.9635223,75.33066203,159.5082556,3240.938621,624.8972443,409.4360137,High-speed Steel
Ball Bearing,1.061265218,675.7295425,76.99771715,103.4806233,4663.791377,964.2084732,473.8824916,Titanium
Gear Pumps,4.26949457,76.88865407,95.30988956,152.0568276,2697.79057,957.9677131,435.0427777,Stainless Steel
Centrifugal Clutches,6.522010345,986.6201962,34.16043998,48.9433302,1258.884734,587.1661943,519.5440897,High Carbon Steel
Spur Gears,1.33645022,289.8271085,142.6932936,12.49190378,510.7936034,53.86151087,611.8698318,Letnol
Parking Brakes,6.908257316,399.0409651,151.2155467,18.81208858,1389.328552,831.6858465,135.3342609,Medium Carbon Steel
Sealing Washers,4.220901243,22.34915043,24.96847786,136.7938023,5881.90561,245.9515674,609.1181893,Carbon Fiber
Fuel Pumps,2.082511903,145.8353536,177.5730885,98.12061377,2242.239238,116.9726174,567.622674,Mild Steel
Regenerative Brakes,5.456630219,620.2418982,92.13159431,199.7089637,5769.491004,693.5555004,255.3382617,Carbon Fiber
Hydraulic Brakes,5.013767373,836.9909015,55.19541418,22.89473118,5280.607244,237.6266045,346.205081,Titanium
Disc Clutches,5.43702285,221.8080565,110.6444113,103.6830127,3297.13616,77.93274106,74.8539497,Stainless Steel
Valves,1.032393715,121.0860791,119.1171804,170.4422113,3561.322719,361.5732148,256.4655234,Stainless Steel
Timing Belts,4.661105231,1465.17227,27.41972852,170.8056898,727.1233834,510.7069711,144.0684413,High Carbon Steel
Drum Brakes,3.611376747,1418.93815,27.25849657,184.5080807,5794.522651,357.8749396,745.500248,Carbon Fiber
Multi-plate Clutches,4.32212558,1147.219197,3.766171443,189.1462407,820.95485,868.3499152,713.1875132,High Carbon Steel
Centrifugal Pumps,5.638042324,866.8867495,148.8932591,78.90362782,4618.447818,743.0991679,523.8545767,Titanium
Oil Pumps,6.764347767,1165.744766,81.04346467,65.15159535,1352.986904,981.1832135,549.0830892,High Carbon Steel
Coupling,3.456734138,1327.767521,132.7530824,186.1540028,1032.667147,156.8073006,439.9135337,Medium Carbon Steel
Connecting Rods,2.605402575,1104.702599,50.41211991,99.83191745,3839.059586,67.14076164,398.5154104,High-speed Steel
Piston,1.144887264,236.9492157,85.50983625,194.7295315,1450.75095,359.2097971,204.4470566,Aluminum Alloy
Pistons,3.867829974,48.26015721,76.10649688,63.86081426,2430.125892,639.5279204,322.7771125,Stainless Steel
Hydraulic Clutches,1.949658162,1009.655967,201.3177215,42.72702938,1891.61925,38.72165393,250.8039098,High-strength Steel
Water Pumps,1.509145626,1491.617158,188.3830695,153.0003839,2291.579648,996.3105527,86.85387816,High-strength Steel
Timing Belts,5.78781454,1405.468399,32.42941559,100.2422903,1837.987784,343.372048,423.7124261,High-strength Steel
Casing,3.747374317,141.043545,202.6783065,136.2354024,5501.608449,643.8937729,368.4991419,Titanium
Parking Brakes,3.035662416,818.5441239,83.03301303,187.9147204,5091.643584,192.6786515,105.7070767,Titanium
Camshafts,7.406885907,476.6508331,174.5715,88.21728672,1961.142841,110.1004912,442.5232726,Mild Steel
Intake Manifolds,5.13036222,955.0131529,46.53747221,189.5332419,5828.715188,332.7963011,656.9692432,Carbon Fiber
Hydraulic Brakes,3.818465763,1109.61253,11.83479971,173.0281654,5677.895284,919.7345565,646.7955688,Carbon Fiber
Cam,3.326404423,752.1469762,86.32913733,168.269335,1908.637234,164.1376603,282.7864638,Aluminum Alloy
Casing,6.348517798,863.0281984,58.62346838,2.048906471,3675.969879,929.8553744,774.1148258,High-speed Steel
Water Pumps,1.723864993,982.6221223,158.6421384,21.64437444,1963.293315,532.2795402,92.1301733,High-strength Steel
Wheel,7.46994748,1047.223951,88.60052859,97.04667327,3079.508297,873.4391815,468.8858958,High-speed Steel
Planetary Gears,2.426841513,963.6306505,179.8438555,199.4489155,1743.032967,99.50403113,542.4346351,Brass
Coupling,5.264599139,1473.18209,114.0998182,107.2783385,2989.195483,599.1630829,69.10847435,High-speed Steel
Exhaust Manifolds,7.34660665,1146.961404,167.664022,32.99177033,5514.240968,809.9633799,160.289033,Carbon Fiber
Planetary Gears,7.941331627,1184.029661,168.1423018,112.6770929,3939.326601,138.2181621,253.388573,High-speed Steel
Pistons,5.062601463,862.3139375,87.20874729,146.4647516,5453.631901,888.6864913,757.2511524,Titanium
Hydraulic Brakes,7.849173401,516.6135152,36.04009131,155.8407233,5579.729135,342.0357753,338.065822,Titanium
Crank Linkage Systems,7.125386053,1183.273167,151.5948621,198.9008083,3790.344315,420.7040603,772.8164398,High-speed Steel
Worm Gears,3.161359243,461.1940109,114.2011164,148.9271804,1523.354567,739.5817239,578.9247091,Brass
Four Bar Linkages,1.315556305,1214.52615,102.9351498,124.2323459,2353.564066,384.9928839,574.1370701,Stainless Steel
Gear Wheels,5.358941641,763.6587893,1.702906854,83.43774297,411.4803954,912.614242,275.7239782,Letnol
Disc Brakes,7.736328804,374.1033796,160.0024125,59.71309957,1458.4142,84.49559419,303.6769281,Aluminum Alloy
Piston,4.486363451,1490.149791,170.4096266,106.1179153,5270.938858,902.9848551,331.2596995,Titanium
Shaft Seals,2.614124999,1066.659989,196.6332714,66.73724471,4376.112969,987.5671849,674.6948988,Titanium
Gaskets,2.638655889,1144.691869,51.50478251,117.1037428,1201.238986,189.1801334,787.1438497,Medium Carbon Steel
Fuel Pumps,1.989907006,1454.322098,71.22497404,195.9583987,5449.328766,766.2060493,737.1136684,Titanium
Crankshafts,5.818718356,127.8892654,1.103599405,95.09927748,1456.706582,746.8338796,442.1629388,Brass
Planetary Gears,5.297692497,1357.143684,75.40595421,97.56325528,1258.913498,550.8521151,115.5660516,High Carbon Steel
Exhaust Manifolds,6.9227966,572.0686151,62.69348254,138.0856398,4115.413191,703.4454342,613.7931034,Titanium
Timing Belts,4.117532945,967.2260946,207.864915,54.12212528,1097.555937,170.0659959,51.49327873,Medium Carbon Steel
Housing,1.701826008,981.8221432,73.38760285,117.327191,1971.700708,472.6650897,323.7194548,High-strength Steel
Wheel,3.600140416,139.1064594,98.01126948,63.51089593,1525.362119,944.1772925,718.8328115,Brass
Bearing,1.793300472,616.1743909,9.816373479,157.324664,3534.411075,780.4808459,722.0650192,High-speed Steel
Regenerative Brakes,4.708890053,1302.612239,97.88733383,81.1029268,2680.885001,821.497316,390.4037828,High-speed Steel
Exhaust Manifolds,3.680608991,95.53772844,137.2376759,71.75280631,5821.444966,942.4884356,62.60346811,Carbon Fiber
Hydraulic Clutches,7.811490357,207.8379592,87.27148562,152.8797492,2453.634074,988.1264507,75.51086331,Stainless Steel
Disc Brakes,2.139842243,103.6472067,103.5091429,99.39584212,2312.15572,324.7456141,572.9475437,Stainless Steel
Multi-plate Clutches,6.175253335,139.1259496,148.2628234,55.83264007,3206.324667,263.975625,539.9369028,Stainless Steel
Exhaust Manifolds,2.027444646,374.6689584,110.1549481,106.7519363,3692.658647,824.8281625,74.73219728,High-speed Steel
Rack and Pinion Gears,7.55382538,981.1545941,156.2627771,177.2568892,4578.757448,111.8101382,613.9991328,Titanium
Hydraulic Brakes,5.502601681,1474.322133,144.075032,146.3569035,5197.407832,990.8055094,168.5561643,Titanium
Crankshafts,4.56321684,235.5445439,8.500049795,8.204839953,5126.760295,341.0940473,540.2120254,Titanium
Crankshafts,6.003334501,1281.502837,140.6687091,24.28609888,1376.317327,546.2162669,150.6438875,High Carbon Steel
Piston,1.707405921,60.67748946,50.64275188,149.4614011,5107.619793,486.7153517,719.9535519,Titanium
Exhaust Manifolds,7.319168512,987.0760338,71.69657616,178.7972932,5577.420353,533.0360765,572.3967584,Titanium
Hydraulic Clutches,5.827470579,593.5916962,205.0885262,186.4411493,1521.176258,167.8831465,697.406202,Brass
Multi-plate Clutches,5.62333411,306.2846701,198.0017134,5.896092029,2505.598272,770.6658991,527.7421803,Stainless Steel
Shaft Seals,2.302972271,287.7007437,55.1504802,129.650917,5312.881522,755.2216785,92.53453248,Titanium
Water Pumps,3.212216446,838.3980903,36.14229389,115.2135632,4252.700252,377.5172541,610.0832613,Titanium
Ball Bearing,3.399565001,1098.577682,80.63932894,37.58783664,4352.017796,197.3688027,120.1695931,Titanium
Planetary Gears,2.2063365,906.3968556,94.48324381,181.639842,2798.577213,947.0709038,549.3750369,High-speed Steel
Drum Brakes,5.902808704,81.98414626,17.90185748,172.2757626,3576.098102,954.5340757,57.76034801,High-speed Steel
Shaft Seals,1.81544533,1485.607054,129.2740981,117.12794,2814.379001,777.800584,405.624374,High-speed Steel
Crank Linkage Systems,4.412931518,1485.93513,42.38002862,102.8969238,5611.403391,859.4057072,556.6592445,Carbon Fiber
Cam,5.603594162,454.5323502,183.2765898,192.8316417,2306.503798,340.4575396,304.7161461,Stainless Steel
Peristaltic Pumps,4.187659404,681.5887831,66.46887286,51.23165506,936.1325439,820.9590426,55.67112914,Medium Carbon Steel
Gaskets,5.410223365,834.4151882,48.86420689,24.63712818,5617.388013,468.9836453,271.9274897,Carbon Fiber
Centrifugal Pumps,6.660754764,221.7864755,163.2319959,22.47210737,2897.539035,198.6847087,536.1959301,Stainless Steel
Hydraulic Clutches,1.447242131,1228.855512,77.8945098,33.95138109,5854.18856,915.7253895,655.4784608,Carbon Fiber
Disc,4.285285583,21.14740886,97.12157716,128.1884159,1827.748268,706.4874384,197.2063401,Aluminum Alloy
O-rings,2.759797586,1307.808566,115.4244775,118.5009544,3062.79284,684.5113238,633.3720735,High-speed Steel
Gear,6.381711179,432.0562424,66.7777532,90.91275974,3633.841743,130.9285099,602.2739341,Stainless Steel
Fuel Pumps,7.493852381,1173.309329,163.679256,130.325911,1455.469898,268.5369933,179.7341192,High Carbon Steel
Ball Bearing,2.190265663,755.9099453,99.18783455,158.6484312,5745.432444,998.8175863,51.44189949,Carbon Fiber
Turbine Blade,3.061647691,277.0139007,132.062249,157.3976102,5749.504657,470.9935457,88.18558464,Carbon Fiber
Double Wishbone Linkages,3.817239987,826.2448587,122.1840808,130.0289,3720.180046,140.2160519,442.0618026,High-speed Steel
Exhaust Manifolds,6.912355163,181.0264442,104.1229704,24.276975,3202.534624,696.7079739,532.1231465,Stainless Steel
O-rings,5.829465859,145.9234917,2.008757689,104.6206991,2222.348763,271.4016198,224.6631269,Aluminum Alloy
Exhaust Manifolds,7.004947971,105.913038,11.64692601,177.3497898,5077.643498,926.8954025,228.7693765,Titanium
Cam,7.683763756,262.9038623,113.6921628,161.8210382,5947.564453,48.56065021,135.8883059,Carbon Fiber
Spur Gears,1.492963669,1276.230647,137.7335117,156.0084026,2816.342245,966.2153109,769.0051833,High-speed Steel
Flywheel,3.383307345,600.2042283,203.8789746,40.89781892,2900.346241,572.8215004,253.2393661,Stainless Steel
Sealing Washers,1.090970462,339.7431532,99.56611288,179.3333849,1949.859513,402.0855675,133.0757133,Aluminum Alloy
Pneumatic Brakes,3.152040371,939.331954,90.52417593,32.17498225,5995.111847,495.1964144,778.8217568,Carbon Fiber
Wheel,6.536861286,111.8241573,114.1675628,69.95304853,2350.908517,240.8736554,622.2349412,Stainless Steel
Coupling,6.214936058,938.6207661,175.0394121,174.3713914,2901.056759,918.024597,94.79471326,High-speed Steel
Centrifugal Clutches,3.692086211,509.1688434,202.6890894,199.9852644,5120.310489,318.458979,674.8381671,Titanium
Engine Blocks,2.252247733,969.9324758,35.80153357,185.2640805,401.3451028,971.9644528,279.2438359,Letnol
Parking Brakes,6.854124653,191.8264433,51.07818647,151.057148,3116.11529,419.783566,783.2545877,Stainless Steel
Bevel Gears,7.616753578,943.2601591,41.44066818,24.89667025,5509.465256,230.6385633,453.2385547,Titanium
Lip Seals,6.721799568,366.7518014,208.285526,145.7953729,4201.843318,758.9951441,309.6797862,Titanium
Engine Blocks,5.719696252,1140.357188,4.091203098,7.493571398,2288.867472,302.8665717,665.3690516,Stainless Steel
Shaft Seals,7.760530909,218.4129251,65.48482193,130.8935543,2631.467178,209.9176547,77.98009283,Stainless Steel
Gear Wheels,5.978413094,66.99358013,20.35924696,180.0555994,3257.273227,117.2741938,787.4148404,Stainless Steel
Fuel Injectors,1.656491949,1469.810438,107.3121352,164.2242689,1218.537442,342.8281513,255.3981518,High Carbon Steel
Pistons,3.087056071,1217.787674,200.7473113,182.2063393,4878.547253,57.70196029,213.8448217,Titanium
Shaft Seals,6.873750698,1396.565283,3.707411842,182.9627178,2374.499778,218.8846867,247.1412237,High-strength Steel
Crankshaft,7.550382333,619.1209267,141.6506995,181.4695591,1909.832506,788.1129651,380.8789322,High-strength Steel
Centrifugal Pumps,4.163831192,314.0063062,68.72825478,103.8457938,2793.846147,309.831701,586.2120416,Stainless Steel
Disc Clutches,5.416972265,479.9637661,18.95673876,117.7383938,2726.626734,830.5695706,308.8624084,Stainless Steel
Drum Brakes,7.992586249,471.4275129,162.257065,10.4052292,5374.745871,799.0064212,275.6722333,Titanium
Fuel Pumps,2.665370029,932.9840396,32.78159257,13.44438772,866.6767065,566.909944,217.3311689,Medium Carbon Steel
Parking Brakes,2.923730373,250.4154526,142.7174706,85.29377815,3243.282545,624.2831481,604.6806539,Stainless Steel
Shaft,6.560478251,953.7633124,120.5652806,190.0208741,4353.071718,57.11190916,762.664027,Titanium
Flywheel,2.818316779,1419.675611,114.6054532,11.49603151,2630.502267,218.5609032,387.7089106,Stainless Steel
Oil Pumps,3.426203934,515.3559486,22.41164365,143.9670955,4814.269438,611.0337498,565.4652936,Titanium
Crankshaft,7.349244899,102.453361,92.16492434,178.8334979,527.9881734,555.1188647,336.7117172,Letnol
O-rings,1.210536303,983.9384719,146.7106029,147.399291,738.8315448,911.3208815,527.1363433,High Carbon Steel
Gear Wheels,1.28596524,400.492834,40.75227888,186.4001607,3594.100968,559.5449945,794.4701028,High-speed Steel
Gaskets,5.266885237,701.8774044,75.73927615,182.4765847,808.7089108,194.4502483,721.1347557,Letnol
Ball Bearing,2.982015685,926.8676178,79.30452086,5.189368321,568.3516512,74.35132416,307.2021833,Letnol
Bearing,7.129611713,219.160067,82.45311039,147.0113713,1851.936033,906.0600436,798.5714951,High-strength Steel
Timing Belts,7.658648131,1116.718362,94.16776387,48.95879105,2389.408199,817.2768046,348.6835274,High-strength Steel
Disc Brakes,3.541694441,598.5879833,37.709002,20.4274337,3628.726447,256.8685245,668.7299151,High-speed Steel
Rocker Arms,6.847565727,1035.121425,1.526103896,166.5435063,819.3965096,969.4480779,729.1804026,High Carbon Steel
Pistons,5.423353228,1279.530364,111.7588149,174.4472137,666.7954248,692.4932299,125.5717481,High Carbon Steel
Shaft Seals,1.883360477,292.592447,158.533848,147.0779178,5038.667434,232.5267663,441.6371943,Titanium
Fuel Injectors,5.731748493,882.4268854,96.09080763,107.8457387,2196.318859,283.2425236,82.0797281,High-strength Steel
Shaft Seals,3.49727413,428.8991481,96.76781825,32.35975518,5720.611307,293.5087938,386.9640093,Carbon Fiber
Engine Blocks,1.922234833,926.0457377,207.6770103,137.2005227,2642.977248,199.2579503,136.5751717,Stainless Steel
Rack and Pinion Gears,2.053482151,223.7865132,111.2173218,125.2069996,5031.693527,216.490726,474.2624367,Titanium
Hydraulic Brakes,6.391085109,344.8892602,126.7631044,78.25932383,4278.502082,799.6284079,708.7494,Titanium
Camshafts,6.594643878,1484.237056,19.54292275,124.9351559,2280.925203,720.3301725,639.1449921,High-strength Steel
Regenerative Brakes,5.710094771,973.203456,18.58376103,114.9024549,4434.225053,473.6183686,114.2763683,Titanium
Parking Brakes,1.683550413,1132.188885,156.8388363,186.4641041,1903.781591,473.9622284,685.8808932,High-strength Steel
